"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x836653724743385088","x1282157805311528960",2020-07-12 03:40:16,"ProsccoSocialst","Pretend you never went to school","Twitter for Android",32,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ProsccoSocialst/status/1282157805311528960","Prosecco Socialist 🌹","Decatur, GA","they/them. @RobDelaney said I was funny",,FALSE,122,765,0,763,12793,2017-02-28 19:06:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/836653724743385088/1543524887","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1271924580102426624/t-rBRaPn_normal.jpg"
"x836653724743385088","x1282153197893820416",2020-07-12 03:21:58,"ProsccoSocialst","The point isn't that Hobbes is real to Calvin; it's that Calvin is real to Hobbes, in a way that he isn't to his teachers, his classmates, or his parents. https://t.co/nH6LGRfUrv","Twitter for Android",139,,,,FALSE,TRUE,0,945,,,,,,,,,,,,,,,,"x810474","bokane","en",,,,,,,,,,,,,,,,"x1282096361341685762","The point isn't that Hobbes is real to Calvin; it's that Calvin is real to Hobbes, in a way that he isn't to his teachers, his classmates, or his parents. https://t.co/nH6LGRfUrv",2020-07-11 23:36:07,"Twitter Web App",4526,945,"x810474","bokane","Brendan O'Kane",15509,4069,23243,"Philadelphia","Scrutable Occidental, erstwhile 北漂, quondam translator, current PhD candidate working on early modern Chinese fiction from and around the Ming-Qing transition.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ProsccoSocialst/status/1282153197893820416","Prosecco Socialist 🌹","Decatur, GA","they/them. @RobDelaney said I was funny",,FALSE,122,765,0,763,12793,2017-02-28 19:06:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/836653724743385088/1543524887","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1271924580102426624/t-rBRaPn_normal.jpg"
"x836653724743385088","x1282001944563920896",2020-07-11 17:20:56,"ProsccoSocialst","Pokemon Go At Home (Quarantine Edition)","Twitter Web App",39,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ProsccoSocialst/status/1282001944563920896","Prosecco Socialist 🌹","Decatur, GA","they/them. @RobDelaney said I was funny",,FALSE,122,765,0,763,12793,2017-02-28 19:06:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/836653724743385088/1543524887","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1271924580102426624/t-rBRaPn_normal.jpg"
"x836653724743385088","x1281983759898873857",2020-07-11 16:08:41,"ProsccoSocialst","@keeferooni Does Goya make baked beans?","Twitter for Android",27,"x1281968766717493248","x14531199","keeferooni",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x14531199","keeferooni","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ProsccoSocialst/status/1281983759898873857","Prosecco Socialist 🌹","Decatur, GA","they/them. @RobDelaney said I was funny",,FALSE,122,765,0,763,12793,2017-02-28 19:06:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/836653724743385088/1543524887","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1271924580102426624/t-rBRaPn_normal.jpg"
"x836653724743385088","x1281799683778572288",2020-07-11 03:57:13,"ProsccoSocialst","@RobertOrsi1 I remember when you were the ONLY HDS prof to protest against the Iraq War, but sure, indoctrination is a problem","Twitter for Android",113,"x1281701604601794568","x832058390729879553","RobertOrsi1",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x832058390729879553","RobertOrsi1","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ProsccoSocialst/status/1281799683778572288","Prosecco Socialist 🌹","Decatur, GA","they/them. @RobDelaney said I was funny",,FALSE,122,765,0,763,12793,2017-02-28 19:06:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/836653724743385088/1543524887","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1271924580102426624/t-rBRaPn_normal.jpg"
"x836653724743385088","x1281794543453638656",2020-07-11 03:36:48,"ProsccoSocialst","@akbarjenkins So you think the good guy is the one trying to protect Obama, but it turns out Obama was the real villain!","Twitter for Android",106,"x1281791244813963264","x21364868","akbarjenkins",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x21364868","akbarjenkins","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ProsccoSocialst/status/1281794543453638656","Prosecco Socialist 🌹","Decatur, GA","they/them. @RobDelaney said I was funny",,FALSE,122,765,0,763,12793,2017-02-28 19:06:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/836653724743385088/1543524887","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1271924580102426624/t-rBRaPn_normal.jpg"
"x836653724743385088","x1281782964402126852",2020-07-11 02:50:47,"ProsccoSocialst","LAW AND ORDER! https://t.co/jQJjE0SKbV","Twitter for Android",14,,,,TRUE,FALSE,2,0,,,,,"twitter.com/Hagstrom_Ander…","https://t.co/jQJjE0SKbV","https://twitter.com/Hagstrom_Anders/status/1281739940691423232",,,,,,,,,,,"en","x1281739940691423232","BREAKING: President Trump has granted clemency to Roger Stone, per @PressSec. https://t.co/LghMygwsst",2020-07-10 23:59:50,"TweetDeck",4254,1952,"x289119511","Hagstrom_Anders","Anders Hagstrom",4278,1015,4793,"MI | DC","White House Correspondent @dailycaller. Minnesota Loyal | Never seen Fargo. Christian. @Hillsdale",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ProsccoSocialst/status/1281782964402126852","Prosecco Socialist 🌹","Decatur, GA","they/them. @RobDelaney said I was funny",,FALSE,122,765,0,763,12793,2017-02-28 19:06:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/836653724743385088/1543524887","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1271924580102426624/t-rBRaPn_normal.jpg"
"x836653724743385088","x1281780881900920837",2020-07-11 02:42:31,"ProsccoSocialst","@akbarjenkins Pretty sure that theoretical queers is the title of my sex tape","Twitter for Android",63,"x1281540174946668544","x21364868","akbarjenkins",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x21364868","akbarjenkins","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ProsccoSocialst/status/1281780881900920837","Prosecco Socialist 🌹","Decatur, GA","they/them. @RobDelaney said I was funny",,FALSE,122,765,0,763,12793,2017-02-28 19:06:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/836653724743385088/1543524887","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1271924580102426624/t-rBRaPn_normal.jpg"
"x836653724743385088","x1281780078519685121",2020-07-11 02:39:19,"ProsccoSocialst","@kevinbaker Of course not","Twitter for Android",13,"x1281763984245493761","x14095344","kevinbaker",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x14095344","kevinbaker","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ProsccoSocialst/status/1281780078519685121","Prosecco Socialist 🌹","Decatur, GA","they/them. @RobDelaney said I was funny",,FALSE,122,765,0,763,12793,2017-02-28 19:06:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/836653724743385088/1543524887","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1271924580102426624/t-rBRaPn_normal.jpg"
"x836653724743385088","x1281779363541909504",2020-07-11 02:36:29,"ProsccoSocialst","In March, I sent a letter to The Occupant of the @WhiteHouse demanding he grant clemency to save the lives of our most medically vulnerable incarcerated men and women.

He’s ignored it but found time to commute the sentence of his corrupt associate.

Despicable.","Twitter for Android",139,,,,FALSE,TRUE,0,5454,,,,,,,,,,,,,,,,"x31013444 x822215673812119553","AyannaPressley WhiteHouse","en",,,,,,,,,,,,,,,,"x1281758587728138245","In March, I sent a letter to The Occupant of the @WhiteHouse demanding he grant clemency to save the lives of our most medically vulnerable incarcerated men and women.

He’s ignored it but found time to commute the sentence of his corrupt associate.

Despicable.",2020-07-11 01:13:55,"Twitter for iPhone",31063,5454,"x31013444","AyannaPressley","Ayanna Pressley",664471,16502,22163,"Dorchester, MA","Your Congresswoman. Proudly representing the MA 7th. Here to break concrete ceilings & shake the table. Personal account. She/hers. #ChangeCantWait",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ProsccoSocialst/status/1281779363541909504","Prosecco Socialist 🌹","Decatur, GA","they/them. @RobDelaney said I was funny",,FALSE,122,765,0,763,12793,2017-02-28 19:06:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/836653724743385088/1543524887","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1271924580102426624/t-rBRaPn_normal.jpg"
